      0.35	0.00	14.68	11.37	5.50	0.85	2.67	9.37	2.65	0.43	0.90	0.78	4.67	6.14	0.15	0.78	2.33	0.17	
      0.37	0.00	2.55	5.44	4.28	8.64	10.54	7.22	4.26	5.47	0.66	0.40	5.44	2.05	3.17	2.29	1.59	1.07	
      0.39	0.00	9.95	4.67	12.46	10.38	1.30	1.89	1.91	0.03	0.32	2.02	1.45	4.76	3.15	1.77	0.15	1.03	
      0.42	0.00	2.68	4.36	0.31	3.84	1.52	5.28	0.83	2.25	0.65	0.95	1.26	3.61	4.07	2.05	0.18	0.17	
      0.44	0.00	16.88	3.79	8.61	2.68	3.82	0.88	0.02	2.12	0.37	0.71	2.59	0.78	2.23	2.28	1.59	1.42	
      0.46	0.00	16.82	6.54	3.65	3.10	4.85	7.98	3.18	1.59	0.04	2.28	1.24	2.45	0.54	0.73	1.08	1.36	
      0.49	0.00	13.44	0.70	13.85	10.95	8.27	2.18	2.77	5.88	2.30	0.08	1.98	1.38	0.72	0.04	2.99	0.14	
      0.51	0.00	5.04	8.37	3.99	12.69	4.44	0.98	1.70	1.29	1.44	1.70	1.44	0.12	2.25	5.60	0.68	0.53	
      0.53	0.00	11.29	19.46	1.41	6.09	0.68	0.33	4.31	1.87	1.04	1.35	1.25	3.51	2.13	0.02	0.98	2.21	
      0.56	0.00	6.43	4.06	9.18	12.48	11.98	4.01	11.12	0.84	3.68	1.17	8.03	1.80	1.09	1.31	0.38	0.11	
      0.58	0.00	3.31	9.65	4.64	7.75	0.69	3.31	7.09	4.02	1.71	2.19	5.62	2.94	0.44	1.07	0.44	0.47	
      0.60	0.00	2.39	7.12	5.85	2.36	1.05	10.95	7.20	3.15	0.65	1.34	0.54	0.23	4.81	3.61	0.78	0.65	
      0.63	0.00	9.55	9.51	9.75	2.17	10.06	1.84	4.15	1.39	1.17	0.68	4.46	2.62	0.16	2.02	1.13	0.83	
      0.65	0.00	1.63	9.77	4.29	8.91	4.87	2.76	2.10	3.51	1.28	1.08	0.25	6.27	2.26	1.09	0.65	1.74	
      0.67	0.00	13.74	6.61	0.70	15.11	8.26	1.18	0.56	0.41	0.57	0.39	6.10	2.40	1.63	0.89	4.43	1.87	
      0.70	0.00	15.66	7.83	2.63	17.06	5.72	1.00	0.07	0.05	0.70	2.23	0.24	0.72	0.04	0.74	1.46	1.31	
      0.72	0.00	14.31	13.88	8.13	11.30	4.83	6.21	1.92	6.04	0.43	1.01	1.75	1.20	0.06	3.66	2.75	0.42	
      0.74	0.00	7.17	1.20	2.03	3.30	6.20	0.73	1.26	0.27	2.21	3.60	0.95	2.54	0.85	3.45	0.58	0.18	
      0.77	0.00	6.10	4.75	0.96	3.78	11.63	8.47	3.47	2.96	1.40	6.20	1.79	2.01	2.67	0.71	1.26	0.07	
      0.79	0.00	10.97	19.45	2.62	2.30	2.53	1.16	1.31	2.33	0.45	0.33	1.20	2.73	2.15	2.63	1.25	1.43	
      0.81	0.00	2.03	0.60	4.62	5.67	1.47	4.88	1.64	3.38	1.01	1.87	1.47	1.82	0.16	0.02	1.24	0.75	
      0.84	0.00	3.18	15.05	14.53	7.95	16.70	4.48	1.10	3.95	1.40	1.15	3.67	4.10	4.31	2.40	3.48	0.65	
      0.86	0.00	4.84	10.38	8.56	10.21	7.58	0.27	1.35	2.13	1.41	0.38	4.81	3.64	0.44	1.01	2.46	2.86	
      0.88	0.00	4.36	3.29	10.05	3.72	1.14	4.03	1.14	0.24	2.64	4.59	1.33	0.00	2.25	2.09	1.98	0.72	
      0.91	0.00	7.38	0.25	14.36	1.54	6.91	4.38	3.22	2.39	0.56	0.33	2.57	1.81	0.19	2.86	1.05	2.36	
      0.93	0.00	1.27	6.82	5.05	1.44	3.12	2.93	0.05	2.42	0.59	0.43	1.82	1.70	0.53	1.43	0.99	0.55	
      0.95	0.00	0.36	0.66	1.01	0.41	4.53	3.66	2.88	3.50	1.05	0.18	1.22	0.79	0.22	1.08	0.68	0.16	
      0.98	0.00	9.86	5.93	11.04	6.84	7.21	7.08	2.31	3.79	2.26	2.56	3.06	3.65	0.31	1.04	2.36	1.98	
      1.00	0.00	27.31	5.12	6.47	3.32	0.67	6.06	5.25	1.79	3.29	1.18	3.91	2.13	0.15	2.49	0.32	1.20	
